POLLSTER,START,END,SAMPLE,POPULATION,DEMPCT,REPPCT,OTHERPCT
Morning Consult,11/12/21,11/14/21,14961,rv,44,42,
Morning Consult,11/11/21,11/13/21,16094,rv,43,42,
Morning Consult,11/10/21,11/12/21,15018,rv,43,42,
Morning Consult,11/9/21,11/11/21,14766,rv,44,42,
Rasmussen Reports/Pulse Opinion Research,11/8/21,11/11/21,2500,lv,38,51,
Morning Consult,11/8/21,11/10/21,15476,rv,44,43,
ABC News/The Washington Post,11/7/21,11/10/21,1001,a,43,46,
ABC News/The Washington Post,11/7/21,11/10/21,882,rv,41,51,
Morning Consult,11/7/21,11/9/21,16901,rv,44,43,
YouGov,11/6/21,11/9/21,1258,rv,44,37,
Susquehanna Polling & Research Inc.,11/1/21,11/9/21,800,lv,32,29,
Morning Consult,11/6/21,11/8/21,17282,rv,44,43,
YouGov,11/4/21,11/8/21,1673,a,36,33,
Morning Consult,11/5/21,11/7/21,1998,rv,44,42,
Morning Consult,11/5/21,11/7/21,16544,rv,44,42,
Morning Consult,11/4/21,11/6/21,16316,rv,44,43,
Suffolk University,11/3/21,11/5/21,1000,rv,37.7,45.9,
Morning Consult,11/3/21,11/5/21,16218,rv,44,43,
Emerson College,11/3/21,11/4/21,1000,rv,42,48.7,
Morning Consult,11/2/21,11/4/21,16905,rv,43,43,
SSRS,11/1/21,11/4/21,1004,a,50,40,
SSRS,11/1/21,11/4/21,859,rv,49,44,
Morning Consult,11/1/21,11/3/21,16969,rv,43,43,
Morning Consult,10/31/21,11/2/21,17494,rv,43,43,
YouGov,10/30/21,11/2/21,1303,rv,44,37,
Morning Consult,10/30/21,11/1/21,17406,rv,43,43,
Morning Consult,10/29/21,11/1/21,1996,rv,42,42,
Morning Consult,10/29/21,10/31/21,17153,rv,43,42,
RMG Research,10/28/21,10/30/21,1200,rv,40,41,
Morning Consult,10/28/21,10/30/21,16906,rv,44,42,
Morning Consult,10/27/21,10/29/21,16893,rv,44,42,
Harris Insights & Analytics,10/27/21,10/28/21,1688,rv,42,45,
Morning Consult,10/26/21,10/28/21,16957,rv,44,42,
Morning Consult,10/25/21,10/27/21,17136,rv,44,41,
YouGov,10/24/21,10/26/21,1261,rv,44,38,
Morning Consult,10/24/21,10/26/21,17907,rv,43,42,
NBC News/The Wall Street Journal,10/23/21,10/26/21,820,rv,47,45,
Echelon Insights,10/20/21,10/26/21,1600,rv,43,43,
Morning Consult,10/23/21,10/25/21,17571,rv,43,42,
Morning Consult,10/22/21,10/24/21,1999,rv,44,42,
Morning Consult,10/22/21,10/24/21,16426,rv,43,42,
Morning Consult,10/21/21,10/23/21,15561,rv,43,42,
Morning Consult,10/20/21,10/22/21,14883,rv,44,42,
Marist College,10/18/21,10/22/21,1032,rv,44,41,
YouGov,10/19/21,10/21/21,1704,a,37,32,
Morning Consult,10/19/21,10/21/21,15647,rv,44,42,
Morning Consult,10/18/21,10/20/21,15720,rv,44,42,
Morning Consult,10/17/21,10/19/21,16309,rv,44,42,
YouGov,10/16/21,10/19/21,1268,rv,42,37,
Echelon Insights,10/15/21,10/19/21,1098,rv,46,42,
Echelon Insights,10/15/21,10/19/21,915,lv,46,45,
Morning Consult,10/16/21,10/18/21,1998,rv,45,40,
Morning Consult,10/16/21,10/18/21,16207,rv,43,42,
McLaughlin & Associates,10/14/21,10/18/21,1000,lv,47,48,
Morning Consult,10/15/21,10/17/21,15542,rv,43,43,
NBC News/The Wall Street Journal,10/14/21,10/17/21,800,a,43,41,
Morning Consult,10/14/21,10/16/21,15534,rv,43,42,
Morning Consult,10/13/21,10/15/21,15433,rv,44,42,
"Cor Services, Inc.",10/12/21,10/14/21,508,lv,39,49,
Morning Consult,10/12/21,10/14/21,16137,rv,44,42,
RMG Research,10/11/21,10/13/21,1200,rv,40,41,
Morning Consult,10/11/21,10/13/21,16304,rv,44,42,
Morning Consult,10/10/21,10/12/21,16484,rv,44,42,
YouGov,10/9/21,10/12/21,1266,rv,45,37,
RMG Research,10/10/21,10/11/21,1200,rv,40,40,
Morning Consult,10/9/21,10/11/21,16018,rv,44,42,
Morning Consult,10/8/21,10/11/21,1999,rv,43,41,
Morning Consult,10/8/21,10/10/21,15226,rv,44,42,
Morning Consult,10/7/21,10/9/21,14959,rv,44,42,
RMG Research,10/6/21,10/9/21,1200,rv,40,41,
Morning Consult,10/6/21,10/8/21,15507,rv,43,42,
Morning Consult,10/5/21,10/7/21,15822,rv,43,42,
Morning Consult,10/4/21,10/6/21,16287,rv,43,42,
YouGov,10/3/21,10/5/21,1261,rv,43,36,
Morning Consult,10/3/21,10/5/21,16542,rv,44,42,
Morning Consult,10/2/21,10/4/21,1998,rv,43,42,
Morning Consult,10/2/21,10/4/21,15925,rv,44,42,
Quinnipiac University,10/1/21,10/4/21,1326,a,43,46,
Quinnipiac University,10/1/21,10/4/21,1177,rv,44,47,
YouGov,10/1/21,10/4/21,1640,a,37,31,
Morning Consult,10/1/21,10/3/21,14987,rv,44,42,
Morning Consult,9/30/21,10/2/21,14969,rv,44,42,
Morning Consult,9/29/21,10/1/21,15934,rv,44,42,
Morning Consult,9/28/21,9/30/21,17060,rv,44,42,
Morning Consult,9/27/21,9/29/21,17574,rv,44,42,
Public Religion Research Institute,9/16/21,9/29/21,2508,a,37,29,
YouGov,9/26/21,9/28/21,1246,rv,52,48,
Morning Consult,9/26/21,9/28/21,18617,rv,44,41,
Morning Consult,9/25/21,9/27/21,18392,rv,44,41,
Morning Consult,9/24/21,9/27/21,1999,rv,45,41,
Morning Consult,9/24/21,9/26/21,17006,rv,44,41,
Marist College,9/20/21,9/26/21,1029,rv,46,38,
Morning Consult,9/23/21,9/25/21,16419,rv,44,42,
Lake Research Partners/Emerson College,9/22/21,9/24/21,1000,rv,45,41,
Morning Consult,9/22/21,9/24/21,16478,rv,44,41,
Morning Consult,9/21/21,9/23/21,17142,rv,44,41,
Echelon Insights,9/17/21,9/23/21,1005,rv,47,40,
Echelon Insights,9/17/21,9/23/21,829,lv,50,40,
RMG Research,9/22/21,9/22/21,1200,rv,41,40,
Morning Consult,9/20/21,9/22/21,16999,rv,44,41,
Morning Consult,9/19/21,9/21/21,16710,rv,44,41,
YouGov,9/18/21,9/21/21,1281,rv,52,48,
Morning Consult,9/18/21,9/20/21,1998,rv,44,40,
Morning Consult,9/18/21,9/20/21,16482,rv,44,41,
Morning Consult,9/17/21,9/19/21,15726,rv,44,41,
Pew Research Center,9/13/21,9/19/21,10371,a,45,40,
Morning Consult,9/16/21,9/18/21,15757,rv,44,41,
Morning Consult,9/15/21,9/17/21,16175,rv,44,41,
Morning Consult,9/14/21,9/16/21,16765,rv,44,41,
Morning Consult,9/13/21,9/15/21,17092,rv,44,42,
Morning Consult,9/12/21,9/14/21,17140,rv,44,41,
McLaughlin & Associates,9/9/21,9/14/21,1000,lv,46,47,
Morning Consult,9/11/21,9/13/21,17140,rv,44,41,
Morning Consult,9/10/21,9/13/21,1997,rv,43,39,
Quinnipiac University,9/10/21,9/13/21,1210,a,45,42,
Quinnipiac University,9/10/21,9/13/21,1079,rv,47,43,
YouGov,9/10/21,9/13/21,1153,rv,43,37,
Morning Consult,9/10/21,9/12/21,16763,rv,44,41,
RMG Research,9/10/21,9/11/21,1200,rv,40,40,
Morning Consult,9/9/21,9/11/21,16623,rv,44,42,
Morning Consult,9/8/21,9/10/21,17239,rv,44,41,
Morning Consult,9/7/21,9/9/21,17890,rv,44,41,
Morning Consult,9/6/21,9/8/21,18645,rv,44,42,
The Winston Group,9/4/21,9/8/21,1000,rv,46,43,
Public Opinion Strategies,9/1/21,9/8/21,800,rv,42,42,
Morning Consult,9/5/21,9/7/21,18918,rv,44,42,
YouGov,9/4/21,9/7/21,1158,rv,43,37,
SSRS,8/3/21,9/7/21,2119,a,45,40,
SSRS,8/3/21,9/7/21,1838,rv,45,44,
Morning Consult,9/4/21,9/6/21,17395,rv,43,42,
Morning Consult,9/3/21,9/5/21,15986,rv,43,42,
Morning Consult,9/2/21,9/4/21,15166,rv,43,41,
Morning Consult,9/1/21,9/3/21,16115,rv,43,41,
Morning Consult,8/31/21,9/2/21,17221,rv,44,41,
Change Research,8/30/21,9/2/21,1775,rv,46,45,
Change Research,8/30/21,9/2/21,1571,lv,49,45,
Morning Consult,8/30/21,9/1/21,17911,rv,44,41,
Morning Consult,8/29/21,8/31/21,17884,rv,44,42,
YouGov,8/28/21,8/31/21,1171,rv,45,38,
Morning Consult,8/28/21,8/30/21,16442,rv,44,41,
Morning Consult,8/27/21,8/29/21,15559,rv,44,41,
RMG Research,8/26/21,8/29/21,1200,rv,40,40,
Morning Consult,8/26/21,8/28/21,15555,rv,44,41,
Morning Consult,8/25/21,8/27/21,16542,rv,44,41,
Morning Consult,8/24/21,8/26/21,16973,rv,44,41,
Morning Consult,8/23/21,8/25/21,17347,rv,44,41,
Morning Consult,8/22/21,8/24/21,17649,rv,44,41,
YouGov,8/21/21,8/24/21,1162,rv,44,37,
Morning Consult,8/21/21,8/23/21,17027,rv,44,41,
Morning Consult,8/20/21,8/22/21,15545,rv,44,42,
Morning Consult,8/19/21,8/21/21,14899,rv,44,42,
Morning Consult,8/18/21,8/20/21,14759,rv,44,41,
Morning Consult,8/17/21,8/19/21,16120,rv,44,41,
Morning Consult,8/16/21,8/18/21,16428,rv,44,41,
Echelon Insights,8/13/21,8/18/21,1016,rv,50,40,
Susquehanna Polling & Research Inc.,8/12/21,8/18/21,800,lv,38,39,
Schoen Cooperman Research,8/10/21,8/18/21,750,lv,46,48,
Morning Consult,8/15/21,8/17/21,17203,rv,45,41,
YouGov,8/14/21,8/17/21,1159,rv,43,38,
NBC News/The Wall Street Journal,8/14/21,8/17/21,790,rv,47,46,
Ipsos,8/16/21,8/16/21,947,a,40,37,
Morning Consult,8/14/21,8/16/21,16553,rv,45,41,
Morning Consult,8/13/21,8/15/21,16350,rv,45,41,
Morning Consult,8/12/21,8/14/21,15849,rv,45,41,
Morning Consult,8/11/21,8/13/21,16441,rv,45,41,
Morning Consult,8/10/21,8/12/21,16529,rv,45,41,
Morning Consult,8/9/21,8/11/21,16637,rv,45,41,
Morning Consult,8/8/21,8/10/21,14793,rv,44,42,
YouGov,8/7/21,8/10/21,2306,rv,45,37,
Morning Consult,8/7/21,8/9/21,12962,rv,44,41,
Morning Consult,8/6/21,8/8/21,12779,rv,44,41,
RMG Research,8/5/21,8/7/21,1200,rv,42,40,
Morning Consult,8/5/21,8/7/21,14042,rv,45,41,
Morning Consult,8/4/21,8/6/21,15364,rv,44,41,
Morning Consult,8/3/21,8/5/21,15667,rv,44,42,
Morning Consult,8/2/21,8/4/21,15928,rv,44,42,
Morning Consult,8/1/21,8/3/21,16160,rv,44,42,
YouGov,7/31/21,8/3/21,1174,rv,45,37,
McLaughlin & Associates,7/29/21,8/3/21,1000,lv,46,48,
Morning Consult,7/31/21,8/2/21,15574,rv,44,41,
Quinnipiac University,7/27/21,8/2/21,1290,a,45,42,
Quinnipiac University,7/27/21,8/2/21,1145,rv,45,44,
Morning Consult,7/30/21,8/1/21,14883,rv,44,41,
Morning Consult,7/29/21,7/31/21,14607,rv,44,41,
Morning Consult,7/28/21,7/30/21,14723,rv,44,41,
Morning Consult,7/27/21,7/29/21,15113,rv,44,41,
Morning Consult,7/26/21,7/28/21,15369,rv,44,41,
WPA Intelligence (WPAi),7/20/21,7/28/21,1000,rv,44,42,
Morning Consult,7/25/21,7/27/21,15347,rv,44,42,
YouGov,7/24/21,7/27/21,1178,rv,43,36,
Morning Consult,7/24/21,7/26/21,14975,rv,44,42,
Morning Consult,7/23/21,7/25/21,14085,rv,44,41,
RMG Research,7/22/21,7/24/21,1200,rv,41,38,
Morning Consult,7/22/21,7/24/21,13512,rv,44,41,
Morning Consult,7/21/21,7/23/21,13759,rv,44,41,
Echelon Insights,7/19/21,7/23/21,1143,rv,48,41,
Morning Consult,7/20/21,7/22/21,14155,rv,44,41,
Morning Consult,7/19/21,7/21/21,13670,rv,44,41,
Morning Consult,7/18/21,7/20/21,12564,rv,44,41,
YouGov,7/17/21,7/20/21,1187,rv,44,35,
Morning Consult,7/17/21,7/19/21,12243,rv,44,41,
Morning Consult,7/16/21,7/18/21,12468,rv,44,41,
Morning Consult,7/15/21,7/17/21,13650,rv,44,41,
Morning Consult,7/14/21,7/16/21,14307,rv,44,41,
Morning Consult,7/13/21,7/15/21,15554,rv,44,41,
Morning Consult,7/12/21,7/14/21,15383,rv,45,41,
Morning Consult,7/11/21,7/13/21,15438,rv,45,41,
YouGov,7/10/21,7/13/21,1159,rv,44,37,
Morning Consult,7/10/21,7/12/21,14325,rv,45,41,
Morning Consult,7/9/21,7/11/21,14019,rv,45,41,
Morning Consult,7/8/21,7/10/21,13950,rv,44,41,
Morning Consult,7/7/21,7/9/21,14032,rv,44,41,
PEM Management Corporation,7/8/21,7/8/21,1000,lv,41.7,42.1,
Morning Consult,7/6/21,7/8/21,14869,rv,44,40,
Morning Consult,7/5/21,7/7/21,15187,rv,44,41,
Morning Consult,7/4/21,7/6/21,15893,rv,44,41,
YouGov,7/3/21,7/6/21,1176,rv,43,37,
Morning Consult,7/3/21,7/5/21,15027,rv,44,41,
Morning Consult,7/2/21,7/4/21,14419,rv,44,41,
Morning Consult,7/1/21,7/3/21,13888,rv,44,41,
Morning Consult,6/30/21,7/2/21,14909,rv,44,42,
Morning Consult,6/29/21,7/1/21,15223,rv,44,42,
Morning Consult,6/28/21,6/30/21,15855,rv,44,41,
Morning Consult,6/27/21,6/29/21,15209,rv,44,41,
YouGov,6/26/21,6/29/21,1198,rv,44,36,
Morning Consult,6/26/21,6/28/21,14124,rv,44,41,
Morning Consult,6/25/21,6/27/21,12802,rv,45,41,
Morning Consult,6/24/21,6/26/21,12259,rv,44,41,
Morning Consult,6/23/21,6/25/21,13185,rv,44,42,
RMG Research,6/22/21,6/24/21,1200,rv,41,38,
Morning Consult,6/22/21,6/24/21,13669,rv,43,42,
Morning Consult,6/21/21,6/23/21,13940,rv,44,42,
Morning Consult,6/20/21,6/22/21,13540,rv,44,42,
YouGov,6/19/21,6/22/21,1157,rv,44,37,
Echelon Insights,6/18/21,6/22/21,1001,rv,46,42,
Morning Consult,6/19/21,6/21/21,12932,rv,44,42,
GQR Research (GQRR),6/14/21,6/21/21,2000,rv,46,44,
Morning Consult,6/18/21,6/20/21,11992,rv,44,42,
McLaughlin & Associates,6/16/21,6/20/21,1000,lv,46,47,
Morning Consult,6/17/21,6/19/21,11596,rv,44,41,
Morning Consult,6/16/21,6/18/21,12357,rv,44,41,
Morning Consult,6/15/21,6/17/21,12745,rv,44,41,
Ipsos,6/11/21,6/17/21,4420,a,37,30,
Morning Consult,6/14/21,6/16/21,13250,rv,43,41,
Morning Consult,6/13/21,6/15/21,13534,rv,43,42,
YouGov,6/12/21,6/15/21,1196,rv,41,34,
Morning Consult,6/12/21,6/14/21,13788,rv,44,42,
Morning Consult,6/11/21,6/13/21,13445,rv,44,41,
Morning Consult,6/10/21,6/12/21,12782,rv,44,41,
Morning Consult,6/9/21,6/11/21,12915,rv,44,41,
Morning Consult,6/8/21,6/10/21,13145,rv,44,42,
The Winston Group,6/7/21,6/10/21,1000,rv,46,42,
Morning Consult,6/7/21,6/9/21,14062,rv,43,42,
Morning Consult,6/6/21,6/8/21,14689,rv,44,42,
YouGov,6/5/21,6/8/21,1189,rv,46,37,
ALG Research,6/2/21,6/8/21,1000,lv,46,46,
Morning Consult,6/5/21,6/7/21,14596,rv,43,41,
Morning Consult,6/4/21,6/6/21,14244,rv,43,41,
Morning Consult,6/3/21,6/5/21,13437,rv,43,41,
"Cor Services, Inc.",6/2/21,6/5/21,519,lv,41,37,
Morning Consult,6/2/21,6/4/21,13868,rv,43,41,
Morning Consult,6/1/21,6/3/21,14463,rv,44,41,
Morning Consult,5/31/21,6/2/21,15610,rv,44,41,
Morning Consult,5/30/21,6/1/21,16099,rv,44,41,
YouGov,5/29/21,6/1/21,1187,rv,43,35,
Morning Consult,5/29/21,5/31/21,15607,rv,44,41,
Morning Consult,5/28/21,5/30/21,14755,rv,44,42,
Morning Consult,5/27/21,5/29/21,13909,rv,44,41,
Morning Consult,5/26/21,5/28/21,13724,rv,44,42,
Morning Consult,5/25/21,5/27/21,13909,rv,44,42,
Morning Consult,5/24/21,5/26/21,14440,rv,44,41,
Morning Consult,5/23/21,5/25/21,14703,rv,44,41,
YouGov,5/22/21,5/25/21,1135,rv,46,37,
ALG Research/Hart Research Associates,5/20/21,5/25/21,805,rv,39,37,
Morning Consult,5/22/21,5/24/21,14148,rv,44,41,
Quinnipiac University,5/18/21,5/24/21,1316,a,49,40,
Quinnipiac University,5/18/21,5/24/21,1174,rv,50,41,
Morning Consult,5/21/21,5/23/21,13971,rv,44,41,
Morning Consult,5/20/21,5/22/21,14364,rv,43,41,
Morning Consult,5/19/21,5/21/21,15303,rv,43,41,
Morning Consult,5/18/21,5/20/21,15453,rv,43,42,
Morning Consult,5/17/21,5/19/21,15023,rv,43,42,
Morning Consult,5/16/21,5/18/21,14954,rv,44,41,
YouGov,5/15/21,5/18/21,1141,rv,47,38,
McLaughlin & Associates,5/12/21,5/18/21,1000,lv,46,47,
Morning Consult,5/15/21,5/17/21,14500,rv,44,41,
Echelon Insights,5/14/21,5/17/21,1132,rv,50,40,
Morning Consult,5/14/21,5/16/21,13904,rv,44,41,
Morning Consult,5/13/21,5/15/21,13395,rv,43,41,
Morning Consult,5/12/21,5/14/21,13923,rv,43,42,
Morning Consult,5/11/21,5/13/21,14268,rv,43,42,
Morning Consult,5/10/21,5/12/21,14581,rv,43,41,
Morning Consult,5/9/21,5/11/21,14391,rv,44,41,
YouGov,5/8/21,5/11/21,1138,rv,45,39,
Morning Consult,5/8/21,5/10/21,13676,rv,44,41,
Redfield & Wilton Strategies,5/8/21,5/9/21,1500,rv,41,36,
Redfield & Wilton Strategies,5/8/21,5/9/21,1189,lv,44,37,
Morning Consult,5/7/21,5/9/21,13324,rv,45,41,
Cygnal,5/5/21,5/9/21,1030,a,43.9,41.4,
RMG Research,5/6/21,5/8/21,1000,rv,41,40,
Morning Consult,5/6/21,5/8/21,13407,rv,44,41,
Morning Consult,5/5/21,5/7/21,13755,rv,44,41,
Morning Consult,5/4/21,5/6/21,13534,rv,44,41,
Morning Consult,5/3/21,5/5/21,12338,rv,44,41,
Morning Consult,5/2/21,5/4/21,13049,rv,44,41,
Morning Consult,5/1/21,5/3/21,13286,rv,44,41,
Morning Consult,4/30/21,5/2/21,12945,rv,44,41,
Morning Consult,4/29/21,5/1/21,12884,rv,44,41,
Morning Consult,4/28/21,4/30/21,12503,rv,44,41,
Morning Consult,4/27/21,4/29/21,12856,rv,44,41,
Morning Consult,4/26/21,4/28/21,12661,rv,43,41,
Morning Consult,4/25/21,4/27/21,13804,rv,43,41,
YouGov,4/24/21,4/27/21,1138,rv,43,38,
Morning Consult,4/24/21,4/26/21,14804,rv,44,41,
Morning Consult,4/23/21,4/25/21,13939,rv,44,41,
Morning Consult,4/22/21,4/24/21,12290,rv,44,41,
YouGov,4/21/21,4/23/21,1000,a,45,38,
Morning Consult,4/21/21,4/23/21,10988,rv,43,41,
Echelon Insights,4/16/21,4/23/21,1043,rv,46,42,
Morning Consult,4/20/21,4/22/21,10356,rv,43,41,
Morning Consult,4/19/21,4/21/21,10473,rv,43,42,
Morning Consult,4/18/21,4/20/21,11663,rv,43,41,
YouGov,4/17/21,4/20/21,1168,rv,45,37,
NBC News/The Wall Street Journal,4/17/21,4/20/21,790,rv,47,42,
Change Research,4/15/21,4/20/21,1025,rv,48,43,
Morning Consult,4/17/21,4/19/21,11973,rv,43,41,
Morning Consult,4/16/21,4/18/21,11528,rv,44,41,
RMG Research,4/15/21,4/17/21,1200,rv,43,39,
Morning Consult,4/15/21,4/17/21,11220,rv,44,41,
Morning Consult,4/14/21,4/16/21,10855,rv,44,41,
Ipsos,4/12/21,4/16/21,4423,a,39,31,
Morning Consult,4/13/21,4/15/21,10660,rv,43,41,
Morning Consult,4/12/21,4/14/21,8645,rv,43,41,
Morning Consult,4/11/21,4/13/21,9686,rv,43,41,
McLaughlin & Associates,4/8/21,4/13/21,1000,lv,46,46.4,
Morning Consult,4/10/21,4/12/21,10410,rv,44,42,
Morning Consult,4/9/21,4/11/21,11286,rv,44,42,
The Winston Group,4/7/21,4/11/21,1000,rv,45,41,
Morning Consult,4/8/21,4/10/21,10455,rv,44,42,
Morning Consult,4/7/21,4/9/21,10142,rv,44,41,
Morning Consult,4/6/21,4/8/21,11161,rv,44,40,
Morning Consult,4/5/21,4/7/21,12070,rv,44,40,
PEM Management Corporation,4/3/21,4/7/21,1000,lv,39.8,42.7,
Morning Consult,4/4/21,4/6/21,13727,rv,44,41,
Morning Consult,4/3/21,4/5/21,13900,rv,44,41,
Morning Consult,4/2/21,4/4/21,13597,rv,44,41,
Morning Consult,4/1/21,4/3/21,12400,rv,44,41,
Morning Consult,3/31/21,4/2/21,12465,rv,44,41,
Morning Consult,3/30/21,4/1/21,12632,rv,43,41,
Morning Consult,3/29/21,3/31/21,12337,rv,44,41,
Morning Consult,3/28/21,3/30/21,12460,rv,44,41,
Morning Consult,3/27/21,3/29/21,12176,rv,44,41,
Morning Consult,3/26/21,3/28/21,12000,rv,44,41,
Morning Consult,3/25/21,3/27/21,11153,rv,44,41,
Morning Consult,3/24/21,3/26/21,10918,rv,44,41,
Morning Consult,3/23/21,3/25/21,10020,rv,44,41,
Morning Consult,3/22/21,3/24/21,9265,rv,44,41,
Morning Consult,3/21/21,3/23/21,9274,rv,44,41,
Morning Consult,3/20/21,3/22/21,10170,rv,45,41,
Morning Consult,3/19/21,3/21/21,10150,rv,44,41,
Echelon Insights,3/15/21,3/21/21,1008,rv,46,42,
Morning Consult,3/18/21,3/20/21,10142,rv,44,40,
Morning Consult,3/17/21,3/19/21,10329,rv,44,40,
Morning Consult,3/16/21,3/18/21,11162,rv,44,40,
Morning Consult,3/15/21,3/17/21,11448,rv,45,40,
Morning Consult,3/14/21,3/16/21,12968,rv,45,41,
Morning Consult,3/13/21,3/15/21,13400,rv,45,41,
Morning Consult,3/12/21,3/14/21,13018,rv,45,41,
Morning Consult,3/11/21,3/13/21,11602,rv,45,41,
Morning Consult,3/10/21,3/12/21,11158,rv,45,41,
Morning Consult,3/9/21,3/11/21,11821,rv,45,41,
Morning Consult,3/8/21,3/10/21,12090,rv,45,41,
Morning Consult,3/7/21,3/9/21,13677,rv,45,41,
Morning Consult,3/6/21,3/8/21,13701,rv,45,41,
Morning Consult,3/5/21,3/7/21,12631,rv,44,41,
Morning Consult,3/4/21,3/6/21,11291,rv,44,42,
Morning Consult,3/3/21,3/5/21,10984,rv,44,41,
Morning Consult,3/2/21,3/4/21,12296,rv,44,41,
Morning Consult,3/1/21,3/3/21,12209,rv,44,41,
Morning Consult,2/28/21,3/2/21,13534,rv,45,41,
Morning Consult,2/27/21,3/1/21,13816,rv,45,41,
Léger,2/26/21,2/28/21,1002,a,39,31,
Morning Consult,2/26/21,2/28/21,13831,rv,45,41,
McLaughlin & Associates,2/24/21,2/28/21,1000,lv,46,46,
Morning Consult,2/25/21,2/27/21,12437,rv,44,41,
Morning Consult,2/24/21,2/26/21,11923,rv,44,41,
Morning Consult,2/23/21,2/25/21,11741,rv,44,41,
NRSC,2/22/21,2/25/21,1200,lv,39,38,
Morning Consult,2/22/21,2/24/21,11559,rv,44,41,
Morning Consult,2/21/21,2/23/21,12503,rv,44,41,
GQR Research (GQRR),2/18/21,2/23/21,1000,rv,48,42,
GQR Research (GQRR),2/18/21,2/23/21,1000,rv,48,42,
GQR Research (GQRR),2/18/21,2/23/21,1000,rv,47,43,
Morning Consult,2/20/21,2/22/21,13182,rv,44,41,
Morning Consult,2/19/21,2/21/21,13504,rv,44,41,
Morning Consult,2/18/21,2/20/21,12907,rv,45,40,
Morning Consult,2/17/21,2/19/21,12952,rv,45,40,
Morning Consult,2/16/21,2/18/21,13371,rv,45,41,
Echelon Insights,2/12/21,2/18/21,1005,rv,44,44,
Morning Consult,2/15/21,2/17/21,13794,rv,45,41,
Morning Consult,2/14/21,2/16/21,14401,rv,45,41,
Morning Consult,2/13/21,2/15/21,14263,rv,45,41,
Morning Consult,2/12/21,2/14/21,13339,rv,45,40,
Morning Consult,2/11/21,2/13/21,12565,rv,45,40,
Morning Consult,2/10/21,2/12/21,12426,rv,45,40,
Morning Consult,2/9/21,2/11/21,13241,rv,44,41,
Morning Consult,2/8/21,2/10/21,13269,rv,44,41,
Morning Consult,2/7/21,2/9/21,14276,rv,44,41,
Morning Consult,2/6/21,2/8/21,14202,rv,44,41,
Morning Consult,2/5/21,2/7/21,13649,rv,44,41,
Morning Consult,2/4/21,2/6/21,12644,rv,45,41,
Morning Consult,2/3/21,2/5/21,11742,rv,45,41,
Morning Consult,2/2/21,2/4/21,12781,rv,45,41,
Morning Consult,2/1/21,2/3/21,12887,rv,45,41,
Morning Consult,1/31/21,2/2/21,14080,rv,45,41,
Morning Consult,1/30/21,2/1/21,14184,rv,45,41,
Morning Consult,1/29/21,1/31/21,14343,rv,45,41,
Morning Consult,1/28/21,1/30/21,14196,rv,45,40,
Morning Consult,1/27/21,1/29/21,13818,rv,44,40,
Morning Consult,1/26/21,1/28/21,14245,rv,45,40,
Morning Consult,1/25/21,1/27/21,14390,rv,44,40,
Morning Consult,1/24/21,1/26/21,14159,rv,45,40,
Morning Consult,1/23/21,1/25/21,13334,rv,45,40,
Morning Consult,1/22/21,1/24/21,11402,rv,45,41,
Morning Consult,1/21/21,1/23/21,10764,rv,45,40,
Morning Consult,1/20/21,1/22/21,10989,rv,45,41,
McLaughlin & Associates,12/9/20,12/13/20,1000,lv,46,48,
McLaughlin & Associates,11/21/20,11/23/20,1000,lv,45,47,
